,Id,library,also_in,Name,SMILES,raw_SMILES,inchikey,N_heavy_atoms,Murcko,Murcko_name
0,Y3D-01,York3D,,2-methylpyrrolidine-2-carboxamide,CC1(C(N)=O)NCCC1,CC1(C(N)=O)NCCC1,KYJNYMVMZKFIKI-UHFFFAOYSA-N,9,C1CCNC1,pyrrolidine
1,Y3D-02,York3D,,2-(methoxymethyl)-2-methylpyrrolidine,CC1(COC)NCCC1,CC1(COC)NCCC1,DTELXVYYTBMURM-UHFFFAOYSA-N,9,C1CCNC1,pyrrolidine
2,Y3D-03,York3D,,1-acetyl-2-methylpyrrolidine-2-carboxylicacid,CC1(C(O)=O)N(C(C)=O)CCC1,CC1(C(O)=O)N(C(C)=O)CCC1,VOSYPKQVDFIHEJ-UHFFFAOYSA-N,12,C1CCNC1,pyrrolidine
3,Y3D-04,York3D,,2-methyl-1-methylsulfonylpyrrolidine-2-carboxamide,CC1(C(N)=O)N(S(=O)(C)=O)CCC1,CC1(C(N)=O)N(S(=O)(C)=O)CCC1,XAWDXPQZJDKTIA-UHFFFAOYSA-N,13,C1CCNC1,pyrrolidine
4,Y3D-05,York3D,,2-methyl-1-methylsulfonylpyrrolidine-2-carboxylicacid,CC1(C(O)=O)N(S(=O)(C)=O)CCC1,CC1(C(O)=O)N(S(=O)(C)=O)CCC1,BNBPOOMEAIZAQD-UHFFFAOYSA-N,13,C1CCNC1,pyrrolidine
5,Y3D-06,York3D,,2-methyl-1-methylsulfonylpyrrolidine-2-carbonitrile,CC1(C#N)N(S(=O)(C)=O)CCC1,CC1(C#N)N(S(=O)(C)=O)CCC1,VZKWVLPPXGYTBP-UHFFFAOYSA-N,12,C1CCNC1,pyrrolidine
6,Y3D-07,York3D,,methyl1-acetyl-2-methylpyrrolidine-2-carboxylate,CC1(C(OC)=O)N(C(C)=O)CCC1,CC1(C(OC)=O)N(C(C)=O)CCC1,GAAFTYXLJISTGT-UHFFFAOYSA-N,13,C1CCNC1,pyrrolidine
7,Y3D-08,York3D,,methyl2-methyl-1-methylsulfonylpyrrolidine-2-carboxylate,CC1(C(OC)=O)N(S(=O)(C)=O)CCC1,CC1(C(OC)=O)N(S(=O)(C)=O)CCC1,APDJGJFQSBOQHM-UHFFFAOYSA-N,14,C1CCNC1,pyrrolidine
8,Y3D-09,York3D,,"methyl(2R,3R)-2-methylpiperidine-3-carboxylate",C[C@H]1NCCC[C@H]1C(OC)=O,C[C@H]1NCCC[C@H]1C(OC)=O,ZORUKIWYFWDAKK-RNFRBKRXSA-N,11,C1CCNCC1,Piperidine
9,Y3D-10,York3D,,"methyl(2R,3R)-2-methyl-1-methylsulfonylpiperidine-3-carboxylate",C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C(OC)=O,C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C(OC)=O,SRFBRZBHPDSDRT-HTQZYQBOSA-N,15,C1CCNCC1,Piperidine
10,Y3D-11,York3D,,"(2R,3R)-2-methyl-1-methylsulfonylpiperidine-3-carboxylicacid",C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C(O)=O,C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C(O)=O,GJXOLQIFKDGWPD-RNFRBKRXSA-N,14,C1CCNCC1,Piperidine
11,Y3D-12,York3D,,"(2R,3R)-2-methyl-1-methylsulfonylpiperidine-3-carboxamide",C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C(N)=O,C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C(N)=O,ZHLDXLSBRBBGSZ-RNFRBKRXSA-N,14,C1CCNCC1,Piperidine
12,Y3D-13,York3D,,"(2R,3R)-2-methyl-1-methylsulfonylpiperidine-3-carbonitrile",C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C#N,C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C#N,FANJRWOXJRSBJO-SFYZADRCSA-N,13,C1CCNCC1,Piperidine
13,Y3D-14,York3D,,"(2R,3R)-N,2-dimethyl-1-methylsulfonylpiperidine-3-carboxamide",C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C(NC)=O,C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C(NC)=O,CPUIXPUDABQXEN-HTQZYQBOSA-N,15,C1CCNCC1,Piperidine
14,Y3D-15,York3D,,"[(2R,3R)-2-methyl-1-methylsulfonylpiperidin-3-yl]-pyrrolidin-1-ylmethanone",C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C(N2CCCC2)=O,C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C(N2CCCC2)=O,YDPJOGQGKXEOGX-GHMZBOCLSA-N,18,O=C([C@@H]1CCCNC1)N1CCCC1,[(3R)-piperidin-3-yl]-pyrrolidin-1-ylmethanone
15,Y3D-16,York3D,,"(2R,3R)-3-(methoxymethyl)-2-methylpiperidine",C[C@H]1NCCC[C@H]1COC,C[C@H]1NCCC[C@H]1COC,FSXAODKZVQVDMT-SFYZADRCSA-N,10,C1CCNCC1,Piperidine
16,Y3D-17,York3D,,"methyl(2R,3R)-1-acetyl-2-methylpiperidine-3-carboxylate",C[C@H]1N(C(C)=O)CCC[C@H]1C(OC)=O,C[C@H]1N(C(C)=O)CCC[C@H]1C(OC)=O,FWRUTXFOKASTEN-VXNVDRBHSA-N,14,C1CCNCC1,Piperidine
17,Y3D-18,York3D,,"1-[(2R,3R)-3-(hydroxymethyl)-2-methylpiperidin-1-yl]ethanone",C[C@H]1N(C(C)=O)CCC[C@H]1CO,C[C@H]1N(C(C)=O)CCC[C@H]1CO,ZOYMJTPVEFVYFS-APPZFPTMSA-N,12,C1CCNCC1,Piperidine
18,Y3D-19,York3D,,"methyl(2S,3R)-3-methyl-1-methylsulfonylpiperidine-2-carboxylate",C[C@H]1[C@@H](C(OC)=O)N(S(=O)(C)=O)CCC1,C[C@H]1[C@@H](C(OC)=O)N(S(=O)(C)=O)CCC1,HLMYNIFJGFTOOM-SFYZADRCSA-N,15,C1CCNCC1,Piperidine
19,Y3D-20,York3D,,"methyl(2S,3R)-1-acetyl-3-methylpiperidine-2-carboxylate",C[C@H]1[C@@H](C(OC)=O)N(C(C)=O)CCC1,C[C@H]1[C@@H](C(OC)=O)N(C(C)=O)CCC1,DZVNUESXSOJDTF-APPZFPTMSA-N,14,C1CCNCC1,Piperidine
20,Y3D-21,York3D,,"methyl(2S,3R)-1-acetyl-2-methylpyrrolidine-3-carboxylate",C[C@H]1[C@H](C(OC)=O)CCN1C(C)=O,C[C@H]1[C@H](C(OC)=O)CCN1C(C)=O,ABRKYGLQKPSDJT-POYBYMJQSA-N,13,C1CCNC1,pyrrolidine
